timestamp,t_water_in,t_glycol_int,t_glycol_out,t_water_out,efficiency
2025-09-29,33.49,85.82,46.5,61.80885591,96.45451706
2025-09-30,33.51,86.35,46.75,61.89494118,96.43257576
2025-10-01,33.39,85.98,46.55,61.67287218,96.41067355
2025-10-02,33.32,85.71,46.51,61.40307891,96.38881045
2025-10-03,32.86,87.54,46.71,61.58348105,96.36698645
2025-10-04,31.8,86.09,45.74,59.85268911,96.34520156
2025-10-05,31.07,86.56,45.43,59.19918996,96.32345577
2025-10-06,31.43,83.53,44.49,59.00984266,96.30174908
2025-10-07,32.31,83.34,44.98,59.86472655,96.28008149
2025-10-08,32.74,87.08,46.63,61.14087926,96.258453
2025-10-09,32.68,87.26,46.73,61.02411299,96.23686362
2025-10-10,32.0,87.28,46.28,60.34917891,96.21531334
2025-10-11,31.47,86.41,45.86,59.2961775,96.19380217
2025-10-12,31.92,87.21,46.32,60.0980829,96.17233009
2025-10-13,31.72,87.54,46.19,60.11623295,96.15089712
2025-10-14,32.16,85.85,46.09,59.90314602,96.12950325
2025-10-15,31.3,86.68,45.79,59.25057873,96.10814848
2025-10-16,30.47,85.22,44.93,57.79330959,96.08683282
2025-10-17,30.9,85.31,45.22,58.29453782,96.06555626
2025-10-18,31.34,85.98,45.7,58.96308972,96.0443188
2025-10-19,31.5,86.12,45.87,59.14061478,96.02312045
2025-10-20,30.65,59.79,38.29,47.86010708,96.00196119
2025-10-21,31.56,30.8,31.33,31.02610916,95.98084104
2025-10-22,31.72,30.86,30.39,32.21056927,95.95975999
2025-10-23,31.66,30.85,29.99,32.5678893,95.93871805
2025-10-24,31.53,29.1,28.54,32.14866854,95.91771521
2025-10-25,33.61,29.57,29.5,33.68975254,95.89675147
2025-10-26,32.3,29.61,29.8,32.0940604,95.87582683
2025-10-27,31.95,29.53,29.4,32.09127551,95.85494129
2025-10-28,31.4,29.09,29.1,31.38920962,95.83409486
2025-10-29,30.23,28.91,29.77,29.35671145,95.81328753
2025-10-30,29.04,28.98,29.85,28.19360804,95.7925193
2025-10-31,27.39,27.86,28.21,27.0501737,95.77179018
2025-11-01,26.48,27.16,27.2,26.44105882,95.75110016
2025-11-02,26.69,28.27,27.39,27.54751004,95.73044924
2025-11-03,26.38,28.88,28.5,26.73173333,95.70983742
2025-11-04,26.86,29.08,29.61,26.37922324,95.68926471
2025-11-05,27.13,,29.54,26.7442654,95.6687311
2025-11-06,27.53,28.43,28.89,27.09165455,95.64823659
2025-11-07,25.2,24.86,25.88,24.20680062,95.62778118
2025-11-08,25.86,25.58,26.0,25.44226154,95.60736488
2025-11-09,24.95,24.64,24.92,24.66966292,95.58698768
2025-11-10,26.77,26.36,27.25,,95.56664958
2025-11-11,28.08,28.08,27.73,28.4344176,95.54635059
2025-11-12,28.41,28.69,29.23,27.88514882,95.52609069
2025-11-13,28.98,28.54,28.2,29.32940426,95.5058699
2025-11-14,27.07,26.68,27.6,26.16766667,95.48568822
2025-11-15,28.69,28.29,28.23,28.75097768,95.46554563
2025-11-16,26.87,27.01,27.13,26.75115002,95.44544215
2025-11-17,26.77,26.13,26.45,26.44612854,95.42537777
2025-11-18,28.34,27.74,28.36,27.72043724,95.40535249
2025-11-19,30.2,30.01,30.25,29.96039669,95.38536632
2025-11-21,28.78,28.88,30.03,27.6778688,95.36541925
2025-11-22,30.75,29.54,30.36,29.9194664,95.34551128
2025-11-23,30.23,29.25,29.91,29.56293882,95.32564241
2025-11-25,31.23,,29.75,31.97532101,95.30581265
2025-11-26,29.37,29.34,30.32,28.4207058,95.28602198
2025-11-27,29.02,29.2,29.81,28.42616572,95.26627043
